time,x,y
2.565,-17.108,-10.391
2.57,-17.027,-10.419
2.575,-17.064,-10.408
2.58,-17.096,-10.484
2.585,-17.111,-10.356
2.59,-17.04,-10.408
2.595,-17.059,-10.507
2.6,-17.055,-10.455
2.605,-17.111,-10.263
2.61,-17.005,-10.46
2.615,-17.099,-10.356
2.62,-17.137,-10.373
2.625,-17.117,-10.519
2.63,-17.128,-10.484
2.635,-17.14,-10.397
2.64,-17.062,-10.35
2.645,-17.061,-10.437
2.65,-17.066,-10.437
2.655,-17.041,-10.344
2.66,-17.081,-10.472
2.665,-17.137,-10.373
2.67,-17.146,-10.473
2.675,-17.194,-10.449
2.68,-17.15,-10.537
2.685,-17.179,-10.414
2.69,-17.183,-10.489
2.695,-17.236,-10.42
2.7,-17.21,-10.403
2.705,-17.183,-10.309
2.71,-17.219,-10.373
2.715,-17.196,-10.467
2.72,-17.234,-10.397
2.725,-17.228,-10.403
2.73,-17.301,-10.281
2.735,-17.304,-10.42
2.74,-17.229,-10.339
2.745,-17.239,-10.402
2.75,-17.265,-10.408
2.755,-17.197,-10.403
2.76,-17.24,-10.315
2.765,-17.165,-10.321
2.77,-17.145,-10.222
2.775,-17.241,-10.257
2.78,-17.147,-10.409
2.785,-16.936,-10.373
2.79,-15.957,-10.344
2.795,-14.58,-10.176
2.8,-13.307,-10.024
2.805,-12.094,-9.6744
2.81,-11.351,-9.6805
2.815,-10.905,-9.8374
2.82,-10.802,-9.8144
2.825,-10.68,-9.9016
2.83,-10.391,-10.035
2.835,-10.348,-9.8786
2.84,-10.066,-9.8958
2.845,-10.132,-9.8846
2.85,-10.079,-10.036
2.855,-10.086,-10.065
2.86,-10.134,-9.9251
2.865,-10.23,-9.9419
2.87,-10.25,-9.96
2.875,-10.138,-10.03
2.88,-10.216,-9.9954
2.885,-10.152,-10.065
2.89,-10.227,-9.9836
2.895,-10.224,-9.9252
2.9,-10.203,-9.9892
2.905,-10.197,-9.9951
2.91,-10.251,-10
2.915,-10.212,-10.042
2.92,-10.25,-9.96
2.925,-10.266,-9.9536
2.93,-10.249,-9.8205
2.935,-10.406,-9.8207
2.94,-10.254,-9.9136
2.945,-10.29,-9.9423
2.95,-10.374,-9.9191
2.955,-10.306,-10.024
2.96,-10.293,-9.995
2.965,-10.295,-10.041
2.97,-10.314,-9.9366
2.975,-10.258,-10.024
2.98,-10.265,-10.03
2.985,-10.361,-10.036
2.99,-10.326,-10.047
2.995,-10.362,-9.9365
3,-10.302,-9.9079
3.005,-10.317,-10.001
3.01,-10.292,-9.9771
3.015,-10.303,-9.9427
3.02,-10.329,-9.9775
3.025,-10.24,-10.024
3.03,-10.228,-10.035
3.035,-10.286,-9.9773
3.04,-10.23,-10.059
3.045,-10.185,-9.9778
3.05,-10.214,-9.9662
3.055,-10.213,-9.9652
3.06,-10.365,-10.006
3.065,-10.329,-9.9775
3.07,-10.313,-10.041
3.075,-10.194,-9.9537
3.08,-10.291,-10.059
3.085,-10.248,-10.07
3.09,-10.243,-10.071
3.095,-10.251,-10.123
3.1,-10.255,-10.082
3.105,-10.309,-10.093
3.11,-10.247,-10.164
3.115,-10.17,-9.9537
3.12,-10.248,-10.053
3.125,-10.131,-10.012
3.13,-10.168,-10.024
3.135,-10.345,-9.9542
3.14,-10.158,-10.053
3.145,-10.178,-10.088
3.15,-10.117,-9.9484
3.155,-10.319,-10.024
3.16,-10.228,-10.03
3.165,-10.332,-10.047
3.17,-10.214,-9.9831
3.175,-10.324,-10.018
3.18,-10.285,-10.071
3.185,-10.316,-9.9601
3.19,-10.341,-9.9949
3.195,-10.324,-10.013
3.2,-10.372,-10.018
3.205,-10.22,-10.1
3.21,-9.4928,-10.083
3.215,-7.7984,-9.9952
3.22,-6.0336,-9.9426
3.225,-4.8483,-9.8084
3.23,-3.6941,-9.5179
3.235,-2.3789,-9.6979
3.24,-0.95353,-9.7909
3.245,0.15346,-9.9423
3.25,0.5038,-9.9189
3.255,0.24344,-9.7276
3.26,0.6188,-10.042
3.265,1.0037,-10.07
3.27,1.1968,-9.9945
3.275,1.1959,-10.093
3.28,1.2378,-9.977
3.285,1.2243,-10.163
3.29,1.1665,-10.117
3.295,1.225,-10.105
3.3,1.2082,-10.024
3.305,1.2485,-10.065
3.31,1.173,-10.047
3.315,1.2366,-10.099
3.32,1.2017,-10.071
3.325,1.0212,-10.048
3.33,1.1549,-10.1
3.335,1.1077,-10.158
3.34,1.0677,-10.088
3.345,1.0454,-9.9715
3.35,0.99861,-9.9889
3.355,1.1193,-10.152
3.36,1.2017,-10.077
3.365,1.0561,-10.082
3.37,0.9928,-9.972
3.375,1.2488,-10.041
3.38,1.0102,-10
3.385,1.1019,-10.158
3.39,1.109,-10.035
3.395,1.0041,-10.007
3.4,1.2427,-10.07
3.405,1.1012,-10.21
3.41,1.0137,-10.222
3.415,0.97195,-10.286
3.42,1.0085,-10.158
3.425,0.9846,-10.205
3.43,1.0486,-10.228
3.435,1.1597,-10.199
3.44,1.014,-10.187
3.445,1.108,-10.128
3.45,1.0899,-10.181
3.455,0.94494,-10.111
3.46,1.0273,-10.041
3.465,0.97332,-10.17
3.47,1.0961,-10.135
3.475,1.2124,-10.17
3.48,1.1552,-10.059
3.485,1.0041,-10.024
3.49,0.99657,-10.181
3.495,0.93912,-10.088
3.5,1.0024,-10.187
3.505,1.0547,-10.204
3.51,1.1306,-10.193
3.515,1.0903,-10.141
3.52,1.0848,-10.117
3.525,0.80654,-9.9654
3.53,0.07498,-10.129
3.535,-0.56241,-10.158
3.54,-0.74121,-10.013
3.545,-1.3483,-9.96
3.55,-2.2749,-9.7621
3.555,-2.9834,-9.7444
3.56,-2.8016,-10.012
3.565,-2.5071,-9.9367
3.57,-2.5468,-9.8671
3.575,-2.6175,-9.9072
3.58,-2.6666,-10
3.585,-2.6947,-9.9481
3.59,-2.7496,-9.7793
3.595,-2.6032,-9.768
3.6,-2.676,-9.8787
3.605,-2.6118,-9.896
3.61,-2.5706,-9.8789
3.615,-2.5091,-10.047
